Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
YX16120T,0,0.0204328680304264,0.0504964222052547,0.0494977541741888,0,0.155624602963524,0,0.0380074916459566,0,0,0.0263327724808457,0,0.0440076867498265,0.148840229210559,0.0423586352115667,0.364256078579311,0,0,0.0455341257465338,0,0.014611333002007,0,0,0.0127244497370437,1.08304231035033
YX16127T,0,0.0170440747150101,0.00208149099458308,0.0120688164025307,0,0.345769412808859,0,0,0,0,0,0.0436670083235595,0.092839991663908,0.0246022592051511,0,0.196065937026935,0,0.0313452485814463,0.233421768273909,0,0.00109399200410768,0,0,-0.0172286733002685,1.08764876023595
YX16128T,0.0661345780385413,0,0.00149150823623753,0.0890228368057009,0,0.369758362401754,0.0188150399261255,0,0,0,0,0,0.00826332752525366,0.0543934450689019,0.0327494610036166,0.240497757767466,0.0236123838104737,0.0124278702622554,0.0828334291536734,0,0,0,0,0.16391757381749,1.01971909436955
YX16130T,0,0.00995682274454339,0.16657274461585,0.0147030883722248,0.042085730926471,0.152849702626118,0,0,0,0,0.00753628079589758,0.0346744041489535,0.00785614543917868,0.040186014724191,0.188130746320903,0.132629860442547,0,0.0969424523982328,0.0841839696991098,0,0,0.0216920367457797,0,0.25795950678565,0.993278849091437
YX16132T,0.067323088067963,0,0.0717143555838516,0.0289446031024211,0,0.312919980666067,0.0307133015670281,0,0,0,0.0350486013964599,0,0,0.124395598395239,0.0366535261718227,0.203319352846796,0.0011603646974033,0.0278622101826262,0.0135335147593636,0,0,0.0464115025629597,0,0.217428970060299,0.9945815357801
YX16135T,0,0.0402807390463803,0.0948479137664286,0.107814214827394,0.0504461068991529,0.159864101733867,0,0,0,0,0.0207343028135894,0.0335729344387048,0.0309409191444426,0.0330101526327098,0.0226429837583203,0.348652901930279,0.0138263698969665,0.000480071179591638,0.0428862879321726,0,0,0,0,0.227629425045128,0.99096429039261
YX16139T,0.032761049737614,0.104482508468362,0.00266730679204007,0.0841325907192507,0,0.261539254398051,0.0186270260826787,0,0,0,0,0,0.155432192241503,0.211367890834678,0.0157546340288556,0.0793031228119069,0.000958547407041672,0.0329738764780181,0,0,0,0,0,0.3068316033215,0.958755539819551
YX16141T,0,0.0126536081305277,0.133210010534865,0,0.000508906077372922,0.296738664065254,0,0,0,0,0.0156947975141539,0.0263217488197676,0.0208705654070611,0.207071586247015,0.00340785296120173,0.194813638602035,0,0.0319554062934953,0.0567532153472512,0,0,0,0,0.231027493438303,0.992676228867006
YX16144T,0.214726722109606,0.220256057006689,0,0.0595812430064487,0.10186507286615,0.167811014186575,0.0175330809904585,0,0,0,0.0192858394258577,0,0.0440272003099689,0.030713624251838,0.00752444615331929,0.0793927787666827,0,0.0372829209264063,0,0,0,0,0,0.494560120642632,0.868953140669942
YX16147T,0.139540286564242,0.226218995348421,0,0.0809477838465039,0.13373342524745,0.179360526698656,0.0207168893636268,0,0,0,0.0142746837821551,0,0.0236138439380326,0.0106943926969642,0.0341487567315472,0.111017267354443,0,0.0257331484279569,0,0,0,0,0,0.524010770998444,0.851268233905568
YX16153T,0,0.0299178159752024,0.0519987372736406,0.0248732206629327,0,0.33619322340448,0,0,0,0,0.0244153935523247,0,0.0283726726459797,0.143814007403168,0,0.211711248475948,0.0108406053897761,0.00295591106186639,0.0835939615437371,0,0.0302844745298534,0.0210287280810915,0,0.0457622728141296,1.06194930841982
YX16155T,0,0.00769279146688774,0.0370969406265134,0,0,0.294572885886828,0,0,0,0,0,0.0462780153700247,0.0797514633689394,0.165990634753474,0,0.194241836312877,0.0121502376750602,0.025163413717479,0.132574070831963,0,0,0.00448770998995361,0,0.0409275801720979,1.06191459792631
YX16158T,0.262324726548843,0.0844143938124194,0,0.0498567185058946,0.192113137975592,0.237387035319342,0.0191972317274638,0,0,0,0.0449253084540356,0,0.011345775217535,0.0259887703639414,0.00601178515380881,0.0517785412291802,0,0.0127220175913475,0,0.00193455810059668,0,0,0,0.637288865084433,0.775992557739106
YX16159T,0.105320499549107,0,0.0739754698715727,0.115997778089103,0,0.244691264237733,0.0320405827640771,0.0246376547949006,0,0,0.0819489699066929,0,0.0795499131455413,0,0.0391407970315626,0.151241219573275,0,0.00943694844311397,0.0356409606278794,0,0.00637794196544137,0,0,0.241500268585242,0.986618497358882
YX16160T,0,0.00228175476458917,0.00898222536248265,0.173243835082579,0,0.113725315890942,0.00397391045799479,0.08272219441512,0,0,0.00638268207023824,0.00755594623355602,0.0375141514003533,0,0.187174647678411,0.235965458308839,0,0.0841915833799213,0.0562862949549736,0,0,0,0,0.284982417184944,0.978905826335639
YX16161T,0,0.0256280779421027,0.101000162066328,0.0607489539959467,0,0.262705938433665,0.0122378838453105,0,0,0,0.01271500865529,0,0.0482006748322111,0.106485345194969,0.00655362953147369,0.298498940425769,0,0.0213179099151279,0.0259253613510504,0,0,0.0179821138107558,0,0.235636931044498,0.988326650327874
YX16166T,0,0.0238146661611645,0.0355218499258641,0,0,0.386564308749747,0,0,0,0,0.0435969770857004,0,0.00821513957409732,0.0957781380479223,0.0145351772660446,0.282007268043845,0,0.0689938323481734,0.0272895031786025,0.00312287644948087,0,0.010560263169358,0,0.0287478547698665,1.07401078407215
YX16177T,0,0.0831574456938419,0.0355216557651108,0,0.0345663147319029,0.304171121616272,0,0,0,0,0.0607593729803029,0,0.0257054688281017,0.288704244942826,0.0200664772238762,0.112131549447473,0,0,0.0352163487702924,0,0,0,0,0.141649042988869,1.03474299205452
YX16178T,0,0.0740757341933145,0.118051778810608,0,0.0249538610501773,0.197847228355836,0.0302956794995396,0.00446377054831722,0,0,0.0818627259188437,0,0.00593432516824877,0.199062514133134,0.00288054497291771,0.18927882844121,0,0.0090258243932131,0,0.0622671845146391,0,0,0,0.176587225363181,1.01614133219058
YX16180T,0.0187292619679476,0,0.029373778331879,0.122667532999175,0,0.435159059848405,0.00656858937321314,0,0,0,0.0380549151466698,0.00153519229109124,0.0319067831647163,0,0.0362838047858161,0.259070340347608,0,0,0.0206507417434793,0,0,0,0,0.13363555251996,1.04677466969247
YX16185T,0,0.0320024012071844,0.0107171234231873,0,0,0.264713532141166,0,0,0.00525873960017199,0,0,0.0572597104121046,0.0342116059805435,0.276758823375387,0.123430168085019,0.126446496929482,0,0,0.0685817704899859,0,0,0.000619628355768726,0,0.033499520050195,1.08438787318875
YX16188T,0.0853638089384867,0.117842890293247,0,0.130169218533736,0,0.214042431784657,0.0888257100083509,0,0,0,0.0678023608527487,0,0.0181109115726413,0.00979549108594388,0.12384353319243,0.102539028018207,0,0.0049557616452843,0.0367088540742683,0,0,0,0,0.380905870003177,0.926422613513198
YX16194T,0,0.0646299302393026,0.058033237470497,0.146193917073267,0.0149307900134466,0.0735326627666672,0,0.0518149202078859,0,0,0.00396229066947884,0.0587746259403641,0.0257692406797355,0,0,0.257764582015698,0.0040294960879504,0.135269843330376,0.105294463505331,0,0,0,0,0.187573844021081,1.00235039810727
YX16202T,0,0.0541456868923188,0.0759512264402817,0.0797876541867859,0,0.113367293840293,0.060151557340432,0.0850772422240586,0,0,0.075263568193822,0,0.0150642441270967,0.0677125557131402,0.0955285981374379,0.206703358691355,0,0,0.0347424890874317,0,0.016265829258533,0.0202386958670131,0,0.155651561799363,1.01633646444471
YX16203T,0.0502896617077725,0.00105258276019053,0.0520261795988621,0.060715028197432,0,0.268632468101121,0.00158936966920849,0,0,0,0,0.0244667430930937,0.0229498699719357,0.102280669798861,0.0302237790434468,0.236158380919848,0.0522463719006215,0,0.0886932185272135,0,0,0.00867567671039348,0,0.20613700772412,0.995760046598288
